DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2017,6702.278,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2018,7701.591,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2019,8665.919,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2020,7979.704,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2021,10047.683,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2013,200.162,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2014,147.372,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2015,101.524,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2016,73.502,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2017,166.007,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2018,223.823,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2019,300.588,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2020,679.297,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EL,2021,587.934,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2013,10586.678,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2014,17767.472,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2015,11210.814,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2016,13895.385,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2017,17755.810,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2018,24550.304,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2019,24836.029,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2020,23359.417,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,ES,2021,29590.587,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2013,4301.716,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2014,4594.941,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2015,1351.625,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2016,900.670,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2017,639.189,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2018,979.348,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2019,1344.870,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2020,1856.920,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FI,2021,2481.886,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2013,6788.585,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2014,7173.350,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2015,8336.261,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2016,7897.139,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2017,8518.724,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2018,12348.435,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2019,12019.422,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2020,10813.792,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,FR,2021,10485.514,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2013,2919.114,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2014,3413.411,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2015,3614.335,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2016,3863.877,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2017,4104.090,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2018,3579.285,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2019,3280.224,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2020,3375.962,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HR,2021,4044.704,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2013,3937.052,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2014,4083.183,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2015,5413.764,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2016,5412.772,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2017,5744.755,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2018,5471.555,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2019,5954.192,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2020,4824.146,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,HU,2021,5385.775,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2013,7.237,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2014,14.617,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2015,20.589,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2016,37.638,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2017,45.142,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2018,154.861,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2019,120.351,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2020,200.205,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IE,2021,230.732,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2013,712.411,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2014,1866.308,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2015,1625.186,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2016,3063.812,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2017,4185.233,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2018,3598.870,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2019,3729.721,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2020,6259.228,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,IT,2021,8577.415,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2013,2759.174,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2014,2757.665,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2015,2981.684,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2016,2940.431,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2017,3603.131,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2018,3717.192,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2019,3787.858,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2020,3878.292,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LT,2021,4097.095,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2013,141.800,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2014,160.838,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2015,341.235,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2016,399.254,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2017,363.669,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2018,379.596,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2019,302.900,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2020,404.496,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LU,2021,429.823,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2013,8487.259,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2014,9599.939,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2015,10564.220,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2016,11675.796,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2017,11271.786,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2018,12318.397,
